trial_id,object,sigma_d,rho,phi,theta,seed,seg_empty,C_pc,cube_size,q_grasp,e_pose,n_grasps,top_k,selected_rank,n_candidates_tried,n_rejected_collision,collision_free,contacted_bodies,success,final_xy_offset,final_lift,obj_z_final,failure_mode,error
32,cylinder,0.0,1.0,55.0,45.0,620032,0,0.01344,,0.16476,0.02507,11,20,0,1,0,1,,1,0.00481,0.14983,0.6048,success,
33,cylinder,0.0,1.0,55.0,45.0,630033,0,0.01344,,0.16383,0.00323,28,20,6,7,6,1,,1,0.00226,0.15001,0.605,success,
34,cylinder,0.0,1.0,55.0,45.0,640034,0,0.01344,,0.15307,0.03499,1,20,,1,1,0,target_object,0,,,,pregrasp_collision,
35,cylinder,0.0,1.0,55.0,45.0,650035,0,0.01344,,0.17721,0.03312,38,20,1,2,1,1,,1,0.00572,0.14967,0.6048,success,
36,cylinder,0.0,1.0,55.0,45.0,660036,0,0.01344,,0.17486,0.01709,35,20,3,4,3,1,,1,0.0035,0.14983,0.6048,success,
37,cylinder,0.0,1.0,55.0,45.0,670037,0,0.01344,,0.19072,0.02671,63,20,2,3,2,1,,1,0.00408,0.14968,0.6048,success,
38,cylinder,0.0,1.0,55.0,45.0,680038,0,0.01344,,0.15286,0.03055,6,20,2,3,2,1,,1,0.00272,0.14969,0.6051,success,
39,cylinder,0.0,1.0,55.0,45.0,690039,0,0.01344,,0.17153,0.02421,34,20,1,2,1,1,,1,0.00474,0.14985,0.6048,success,
40,cylinder,0.0,1.0,55.0,45.0,700040,0,0.01344,,0.1526,0.00486,8,20,2,3,2,1,,1,0.00197,0.15011,0.6051,success,
41,cylinder,0.0,1.0,55.0,45.0,710041,0,0.01344,,0.15673,0.01431,15,20,2,3,2,1,,1,0.00312,0.15024,0.6052,success,
42,cylinder,0.0,1.0,55.0,45.0,720042,0,0.01344,,0.19185,0.03129,47,20,0,1,0,1,,1,0.00578,0.1498,0.6048,success,
43,cylinder,0.0,1.0,55.0,45.0,730043,0,0.01344,,0.17118,0.0147,39,20,5,6,5,1,,1,0.00316,0.15024,0.6052,success,
44,cylinder,0.0,1.0,55.0,45.0,740044,0,0.01344,,0.17684,0.03012,20,20,3,4,3,1,,1,0.00495,0.14969,0.6047,success,
45,cylinder,0.0,1.0,55.0,45.0,750045,0,0.01344,,0.18272,0.01125,62,20,0,1,0,1,,1,0.00272,0.1502,0.6052,success,
46,cylinder,0.0,1.0,55.0,45.0,760046,0,0.01344,,0.179,0.02803,38,20,4,5,4,1,,1,0.00481,0.14966,0.6047,success,
47,cylinder,0.0,1.0,55.0,45.0,770047,0,0.01344,,0.18001,0.0264,40,20,5,6,5,1,,1,0.00435,0.14976,0.6048,success,
48,cylinder,0.0,1.0,55.0,45.0,780048,0,0.01344,,0.17089,0.02479,43,20,6,7,6,1,,1,0.00413,0.14977,0.6048,success,
49,cylinder,0.0,1.0,55.0,45.0,790049,0,0.01344,,0.16727,0.02863,22,20,3,4,3,1,,1,0.0052,0.14987,0.6049,success,
50,cylinder,0.0,1.0,55.0,45.0,800050,0,0.01344,,0.15294,0.02307,16,20,8,9,8,1,,1,0.00312,0.14964,0.6046,success,
51,cylinder,0.0,1.0,55.0,45.0,810051,0,0.01344,,0.1959,0.01264,64,20,0,1,0,1,,1,0.00301,0.14988,0.6049,success,
52,cylinder,0.0,1.0,55.0,45.0,820052,0,0.01344,,0.17456,0.00485,60,20,0,1,0,1,,1,0.00201,0.15014,0.6051,success,
53,cylinder,0.0,1.0,55.0,45.0,830053,0,0.01344,,0.17828,0.01072,43,20,0,1,0,1,,1,0.00273,0.15003,0.605,success,
54,cylinder,0.0,1.0,55.0,45.0,840054,0,0.01344,,0.15488,0.02862,18,20,4,5,4,1,,1,0.00488,0.14976,0.6049,success,
55,cylinder,0.0,1.0,55.0,45.0,850055,0,0.01344,,0.20213,0.01358,63,20,0,1,0,1,,1,0.00287,0.14983,0.6048,success,
56,cylinder,0.0,1.0,55.0,45.0,860056,0,0.01344,,0.16456,0.01398,28,20,4,5,4,1,,1,0.00314,0.1501,0.6051,success,
57,cylinder,0.0,1.0,55.0,45.0,870057,0,0.01344,,0.15384,0.01751,11,20,3,4,3,1,,1,0.00356,0.14984,0.6048,success,
58,cylinder,0.0,1.0,55.0,45.0,880058,0,0.01344,,0.17523,0.00934,44,20,3,4,3,1,,1,0.00236,0.15018,0.6052,success,
59,cylinder,0.0,1.0,55.0,45.0,890059,0,0.01344,,0.18329,0.01537,37,20,0,1,0,1,,1,0.00305,0.14981,0.6048,success,
60,cylinder,0.0,1.0,55.0,45.0,900060,0,0.01344,,0.1578,0.03611,10,20,,10,10,0,target_object,0,,,,pregrasp_collision,
61,cylinder,0.0,1.0,55.0,45.0,910061,0,0.01344,,0.17611,0.02644,23,20,0,1,0,1,,1,0.0048,0.15039,0.6054,success,
62,cylinder,0.0,1.0,55.0,45.0,920062,0,0.01344,,0.1727,0.02209,36,20,5,6,5,1,,1,0.00439,0.14996,0.605,success,
63,cylinder,0.0,1.0,55.0,45.0,930063,0,0.01344,,0.16129,0.01092,37,20,10,11,10,1,,1,0.00271,0.14988,0.6049,success,
64,cylinder,0.0,1.0,55.0,45.0,940064,0,0.01344,,0.16171,0.03773,4,20,,4,4,0,target_object,0,,,,pregrasp_collision,
65,cylinder,0.0,1.0,55.0,45.0,950065,0,0.01344,,0.15248,0.00954,24,20,16,17,16,1,,1,0.00236,0.14984,0.6048,success,
66,cylinder,0.0,1.0,55.0,45.0,960066,0,0.01344,,0.1537,0.03236,2,20,,2,2,0,target_object,0,,,,pregrasp_collision,
67,cylinder,0.0,1.0,55.0,45.0,970067,0,0.01344,,0.17315,0.02639,38,20,2,3,2,1,,1,0.00496,0.14985,0.6048,success,
68,cylinder,0.0,1.0,55.0,45.0,980068,0,0.01344,,0.1778,0.01169,41,20,0,1,0,1,,1,0.00283,0.14985,0.6048,success,
69,cylinder,0.0,1.0,55.0,45.0,990069,0,0.01344,,0.18736,0.03413,55,20,1,2,1,1,,1,0.0052,0.14958,0.6049,success,
70,cylinder,0.0,1.0,55.0,45.0,1000070,0,0.01344,,0.1635,0.01975,45,20,12,13,12,1,,1,0.00384,0.1499,0.6049,success,
71,cylinder,0.0,1.0,55.0,45.0,1010071,0,0.01344,,0.15951,0.03026,7,20,,7,7,0,target_object,0,,,,pregrasp_collision,
72,cylinder,0.0,1.0,55.0,45.0,1020072,0,0.01344,,0.16157,0.03993,9,20,,9,9,0,target_object,0,,,,pregrasp_collision,
73,cylinder,0.0,1.0,55.0,45.0,1030073,0,0.01344,,0.16681,0.01861,31,20,0,1,0,1,,1,0.00353,0.14986,0.6049,success,
74,cylinder,0.0,1.0,55.0,45.0,1040074,0,0.01344,,0.17774,0.00878,39,20,0,1,0,1,,1,0.00243,0.15013,0.6051,success,
75,cylinder,0.0,1.0,55.0,45.0,1050075,0,0.01344,,0.18646,0.01554,59,20,4,5,4,1,,1,0.00324,0.14979,0.6048,success,
76,cylinder,0.0,1.0,55.0,45.0,1060076,0,0.01344,,0.15382,0.01422,5,20,0,1,0,1,,1,0.0032,0.15023,0.6052,success,
77,cylinder,0.0,1.0,55.0,45.0,1070077,0,0.01344,,0.17276,0.0257,47,20,2,3,2,1,,1,0.00474,0.14985,0.6048,success,
78,cylinder,0.0,1.0,55.0,45.0,1080078,0,0.01344,,0.19364,0.02149,39,20,0,1,0,1,,1,0.00385,0.14973,0.6047,success,
79,cylinder,0.0,1.0,55.0,45.0,1090079,0,0.01344,,0.17049,0.01046,46,20,3,4,3,1,,1,0.00271,0.14987,0.6049,success,
80,cylinder,0.0,1.0,55.0,45.0,1100080,0,0.01344,,0.18337,0.02882,49,20,3,4,3,1,,1,0.00459,0.1497,0.6048,success,
81,cylinder,0.0,1.0,55.0,45.0,1110081,0,0.01344,,0.17159,0.01398,45,20,7,8,7,1,,1,0.0032,0.15005,0.605,success,
82,cylinder,0.0,1.0,55.0,45.0,1120082,0,0.01344,,0.18501,0.02787,54,20,0,1,0,1,,1,0.00551,0.14998,0.605,success,
83,cylinder,0.0,1.0,55.0,45.0,1130083,0,0.01344,,0.18127,0.0122,58,20,1,2,1,1,,1,0.0029,0.15022,0.6052,success,
84,cylinder,0.0,1.0,55.0,45.0,1140084,0,0.01344,,0.16596,0.02658,36,20,6,7,6,1,,1,0.00468,0.14972,0.6047,success,
85,cylinder,0.0,1.0,55.0,45.0,1150085,0,0.01344,,0.17093,0.014,45,20,3,4,3,1,,1,0.00272,0.14977,0.6048,success,
86,cylinder,0.0,1.0,55.0,45.0,1160086,0,0.01344,,0.17179,0.02365,38,20,8,9,8,1,,1,0.00449,0.14975,0.6047,success,
87,cylinder,0.0,1.0,55.0,45.0,1170087,0,0.01344,,0.19501,0.02835,39,20,1,2,1,1,,1,0.00496,0.14969,0.6047,success,
88,cylinder,0.0,1.0,55.0,45.0,1180088,0,0.01344,,0.16148,0.03416,8,20,1,2,1,1,,1,0.00596,0.14967,0.6048,success,
89,cylinder,0.0,1.0,55.0,45.0,1190089,0,0.01344,,0.18114,0.01669,44,20,0,1,0,1,,1,0.0036,0.15,0.605,success,
90,cylinder,0.0,1.0,55.0,45.0,1200090,0,0.01344,,0.15982,0.00761,21,20,2,3,2,1,,1,0.00215,0.14988,0.6049,success,
91,cylinder,0.0,1.0,55.0,45.0,1210091,0,0.01344,,0.17485,0.02936,45,20,5,6,5,1,,1,0.00478,0.14965,0.6048,success,
92,cylinder,0.0,1.0,55.0,45.0,1220092,0,0.01344,,0.16384,0.03254,14,20,5,6,5,1,,1,0.00555,0.14982,0.6051,success,
93,cylinder,0.0,1.0,55.0,45.0,1230093,0,0.01344,,0.16362,0.01688,33,20,5,6,5,1,,1,0.00356,0.14987,0.6049,success,
94,cylinder,0.0,1.0,55.0,45.0,1240094,0,0.01344,,0.17138,0.02778,16,20,3,4,3,1,,1,0.00466,0.14989,0.6049,success,
95,cylinder,0.0,1.0,55.0,45.0,1250095,0,0.01344,,0.20982,0.01004,58,20,4,5,4,1,,1,0.00247,0.15025,0.6052,success,
96,cylinder,0.0,1.0,55.0,45.0,1260096,0,0.01344,,0.16716,0.02671,32,20,7,8,7,1,,1,0.00439,0.14973,0.6047,success,
97,cylinder,0.0,1.0,55.0,45.0,1270097,0,0.01344,,0.17249,0.01632,56,20,5,6,5,1,,1,0.00329,0.14979,0.6048,success,
98,cylinder,0.0,1.0,55.0,45.0,1280098,0,0.01344,,0.15331,0.01536,11,20,4,5,4,1,,1,0.00305,0.14982,0.6048,success,
99,cylinder,0.0,1.0,55.0,45.0,1290099,0,0.01344,,0.20252,0.01383,58,20,0,1,0,1,,1,0.00308,0.14992,0.6049,success,
